article_id,mt5_summary,llama3_reason,gemma2_reason,qwen_reason,llama3_error,gemma2_error,qwen_error,final_error_type,votes_faithful,final_verdict,status
news-48941481,ভারতের প্রধানমন্ত্রী রামমোহন চট্টোপাধ্যায়ের নির্দেশ অনুযায়ী পৃথিবীকে একটু নিরাপত্তা দিতে হবে।,"The text does not mention Ram Mohan Chattopadhyay as the Prime Minister of India, nor does it mention any instructions given by him to provide security to the Earth.","The report does not mention Ram Mohan Chatterjee, the claimed Indian Prime Minister.","The claim refers to a non-existent entity, Prime Minister Ram Mohan Chatterjee, which is not supported by the provided report.",Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-40898587,"চীনের কর্তৃপক্ষ ইন্টারনেট ব্যবহারকারীদের বিরুদ্ধে অভিযোগ করেছে তারা ওয়েবো, উইচ্যাট এবং বাইদু তিয়েবা-এর সঙ্গে কঠোর নজরদারি করছে।",,"The claim states that authorities are accusing users of close monitoring, but the report states they are accusing users of spreading harmful content.",The first claim is not supported as it introduces new entities (internet users being charged) not aligned with the provided information.,None,Other,Entity,Entity,1,False,Hallucinated
news-54308790,আল্লাহর প্রতি অসৌজন্যমূলক মন্তব্য করার অভিযোগে দশ বছরের কারাদণ্ড পাওয়া নাইজেরিয়ার এক কিশোরকে ক্ষমা করে দেবার জন্য বিশ্বের বিভিন্ন দেশের স্বেচ্ছাসেবী আবেদন করেছেন।,"The report claims that the sentence was commuted by various countries around the world, but the provided text does not support this claim.",All claims have a status of 'Supported',"The report mentions a teenager applying for forgiveness from various countries, which is not supported by the given text that only refers to forgiveness from countries around the world.",Contradiction,None,Entity,Contradiction,1,False,Hallucinated
news-55064450,ফ্রান্সে সন্ত্রাসী হামলার ঘটনার পর সিঙ্গাপুরের কর্তৃপক্ষ নিরাপত্তা পরিস্থিতির অবনতি ঘোষণা করেছে।,The text does not mention Singapore declaring a state of emergency after a terrorist attack in France.,The claim about a security situation downgrade contradicts the text which states a heightened security situation.,All claims are supported by the provided reason.,Contradiction,Other,None,Contradiction,1,False,Hallucinated
news-46938476,"বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনা সমালোচনার ক্ষুরধার জবাব দেওয়া যার সহজাত, তার এই মৌনতা অনেককেই অবাক করেছে।",,All claims were found to be supported by the provided text.,"The first claim is not supported by the report, which mentions her silence surprising many rather than her easy response to critics.",None,None,Entity,None,2,True,Faithful
news-41451031,মিয়ামারের নেত্রী অং সান সু চির প্রতিকৃতি অক্সফোর্ডের সেন্ট হিউ কলেজ থেকে সরিয়ে নেওয়া হয়েছে।,,All claims are supported.,"The report mentions a specific entity, Oxford's St. Hugh's College, which is not supported by the provided information that only refers to St. Hugh's College of Seneca in Senecan County, USA.",None,None,Entity,None,2,True,Faithful
news-47693685,উনিবিংশ শতাব্দীর শুরুতে মার্কিন যুক্তরাষ্ট্র আর চীনের মধ্যে উত্তেজনা তৈরি হয়েছিল।,,"The claim refers to the early 20th century, while the text discusses tensions in the present day.",The report incorrectly states that excitement was generated in the early 21st century when the context provided refers to events in the late 20th century.,None,Date/Time,Date/Time,Date/Time,1,False,Hallucinated
news-50114789,বাংলাদেশের উপকূলীয় জেলা ভোলার বোরহানউদ্দিনে ফেসবুকে ইসলামের নবীকে নিয়ে কটুক্তি করে দেয়া কথিত পোস্টকে ঘিরে বিক্ষোভকারীদের সঙ্গে পুলিশের সংঘর্ষ হয়েছে।,,All claims have a status of 'Supported',All claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-53330837,পৃথিবীর বেশিরভাগ দেশে বাতাসের মাধ্যমে করোনাভাইরাস সংক্রমণের বিষয়টি উড়িয়ে দেয়া যায় না।,"The report contradicts the claim, citing the World Health Organization's warning that coronaviruses can be transmitted through the air, which is the opposite of the claim.","The claim states that coronavirus is not spread through the air, but the reason provided suggests otherwise (advising people to wear masks implies airborne transmission).",All claims are supported by the provided reason.,Contradiction,Contradiction,None,Contradiction,1,False,Hallucinated
news-50051616,যুক্তরাষ্ট্রের একটি রেসিপি বক্স সরবরাহকারী প্রতিষ্ঠান গৌস্তো-এর নতুন ব্যবসায় এখন অনেক প্রতিযোগিতা পাওয়া যাচ্ছে।,The text does not provide information about Gousto or competition in the US market.,The report states that the text does not mention the company 'Gaussto'. ,The first claim is not supported as there is no specific entity mentioned.,Missing Info,Entity,Entity,Entity,0,False,Hallucinated
news-46688013,আপনি কি স্মার্ট ফোন ব্যবহার করছেন না?,,"The claim states the user is not using a smartphone, but the text provides evidence of smartphone usage.","The report states that the person is not using a smart phone, but the reason provided indicates that the text suggests otherwise, implying the use of a smartphone.",None,Entity,Usage,Usage,1,False,Hallucinated
news-50304898,"ভারতের পুজোতে দেশি গরুর দুধের রঙ একটু হলদে হয়ে গেছে, এমন একটি ভিডিও ফেসবুকে ভাইরাল হয়েছে।",,All claims are supported.,"The report mentions a video going viral on Facebook, which is not supported by the given text that only talks about a Bengali text.",None,None,Entity,None,2,True,Faithful
news-54961935,করাচির স্টক এক্সচেঞ্জে গত জুন মাসে যেসব জঙ্গী হামলা হয়েছে তার সবগুলোর পেছনে ভারতের হাত আছে বলে অভিযোগ উঠেছে।,The claim is a conspiracy theory and lacks credible evidence to support it.,"The report states the attack happened last June, but does not attribute it to India.",All claims are supported by the provided information.,Contradiction,Contradiction,None,Contradiction,1,False,Hallucinated
news-45246886,বাংলাদেশে নিরাপদ সড়কের দাবিতে আন্দোলনের সময় সামাজিক মাধ্যমে গুজব ছড়ানোর অভিযোগে বিভিন্ন বিশ্ববিদ্যালয়ের প্রায় শ'খানেক শিক্ষার্থী জামিন পেয়েছেন।,"The article claims that hundreds of students have obtained bail, but the original text mentions that hundreds of students have been arrested, which contradicts the initial claim.",The reported number of students granted bail (100) differs from the number stated in the text (56).,All claims are supported by the provided reason.,Contradiction,Number,None,Contradiction,1,False,Hallucinated
news-50895306,ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী গোটা দেশ জুড়ে নাগরিকদের তালিকা তৈরির অভিযান নিয়ে আবারও চরম বিভ্রান্তি ও অনিশ্চয়তা দেখা দিয়েছে।,,All claims are marked as 'Supported',All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-45159995,বাংলাদেশে ট্রাফিক সপ্তাহের মেয়াদ আরও তিন দিন বাড়ানো হয়েছে।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-47201436,সোশ্যাল মিডিয়া মাধ্যম টুইটার ভারতের পার্লামেন্টারি প্যানেলের শুনানিতে হাজির হতে পারবে না।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
140905_sm_nato_russia_coldwave_background,নেটোর সাথে বর্তমান শীতল সম্পর্ক বেশ কয়েক বছর ধরে খারাপের দিকে যাচ্ছে।,The text does not mention Netflix or its relationship with winter.,All claims are supported.,"The claims refer to entities (Netor and cool) that are not mentioned in the provided text, which discusses the relationship between Russia and NATO instead.",Missing Info,None,Entity,Missing Info,1,False,Hallucinated
news-51817628,দ্বিতীয় বিশ্বযুদ্ধের পর ইতালি জুড়ে করোনাভাইরাসের বিস্তার ঠেকাতে মানুষের চলাচলের ওপর নিষেধাজ্ঞা আরোপ করা হয়েছে।,The text does not mention the coronavirus or any restrictions imposed by Italy after World War II.,"The claim states the travel restrictions were imposed after World War II, while the report indicates they were imposed during the coronavirus pandemic.","The report incorrectly states that these restrictions were after World War II, which occurred in the 1940s, when the coronavirus did not exist. The restrictions mentioned are related to the 2020 coronavirus pandemic.",Contradiction,Date/Time,Date/Time,Date/Time,0,False,Hallucinated
news-50038358,বাংলাদেশের ঢাকার একটি সরকারি স্কুলের বাংলা সাহিত্য সংগ্রাহক গোকুল চন্দ্র দাস তার ব্যক্তিগত বই সংগ্রহশালা গড়ে তুলেছেন।,,All claims are supported.,"The report states that Gokul Chandra Das built a library collection for Bangladeshi literature, but it does not specify that this was located in his school in Dhaka.",None,None,Entity,None,2,True,Faithful
news-45889940,ভারতে যৌন হয়রানির অভিযোগের মুখে সরকারি দায়িত্ব থেকে পদত্যাগ করেছেন সংবাদপত্র সম্পাদক এম জে আকবর।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-54784098,বাংলাদেশের কুমিল্লা জেলার মুরাদনগরে হিন্দু ধর্মবলম্বীদের কয়েকটি বাড়িতে ভাঙচুর ও অগ্নিসংযোগের ঘটনা ঘটেছে গত রোববার।,,All claims are supported by the provided text.,"The claim is supported by the provided reason, hence no error category applies.",None,None,None,None,3,True,Faithful
news-41745155,মিয়ানমার থেকে বাংলাদেশে পালিয়ে আসা রোহিঙ্গাদের ফিরিয়ে নেয়ার জন্য একটি যৌথ কমিটি গঠনের প্রস্তাব দিয়েছেন বাংলাদেশের স্বরাষ্ট্রমন্ত্রী।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-55291601,বাংলাদেশে ১৯৭১ সালে হত্যাকাণ্ডের শিকার বুদ্ধিজীবীদের সংখ্যা ১১শ ১১ জনে দাঁড়িয়েছে।,"The reported number of intellectuals who were victims of the massacre in Bangladesh in 1971 is 111, but the provided text contradicts this claim, stating 86+91+72+61+53+75+43+62+65+54 = 617 intellectuals were killed.",All claims are supported.,"The report states that 111 intellectuals were killed, not 11.",Number,None,Number,Number,1,False,Hallucinated
news-53121882,করোনাভাইরাসে আক্রান্ত হলে কৃষ্ণাঙ্গদের তুলনায় দক্ষিণ এশীয়দের মারা যাবার ঝুঁকি বেশি।,,All claims are marked as 'Supported',All claims in the report are supported by the given reason.,None,None,None,None,3,True,Faithful
news-53324713,উনিশ'শ বাষট্টি সালে গালওয়ান পোস্ট থেকে চীনের সৈন্য অবশেষে পিছু হঠে - ভারতের ইতিহাসের সবচেয়ে পুরনো একটি অভিজ্ঞতা।,,"The report states a claim about a retreat in 1878, but the text mentions a retreat in 1962.",The report incorrectly states that soldiers retreated to China in 1962 when the actual event occurred in 2020.,None,Date/Time,Date/Time,Date/Time,1,False,Hallucinated
news-50794469,যুদ্ধাপরাধের দায়ে ফাঁসির দণ্ডপ্রাপ্ত জামায়াতে সাবেক সহকারী মহাসচিব আব্দুল কাদের মোল্লাকে 'শহীদ' উল্লেখ করে দৈনিক সংগ্রামের সম্পাদক ও প্রকাশক আবুল আসাদকে,,All claims in the report are marked as 'Supported',Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-37771601,ঢাকার আশুলিয়ায় কথিত জঙ্গি সংগঠন 'নব্য জেএমবি'-এর প্রধান হিসেবে দাবি করা সারোয়ার জাহানকে কেন্দ্র করে পুলিশের কাউন্টার টেরোরিজম ইউনিটের একজন কর্মকর্তা নাক,"The article contradicts the claim that the head of the alleged terrorist organization 'New JMB' is a police counter-terrorism unit official, stating that the head is actually a third-tier leader.","The report states Saroar Jahan was killed, contradicting the claim that he is a member of the police's Counter Terrorism Unit.",The report mentions that the claim about Saurav Jahan is not supported by the article.,Contradiction,Entity,Entity,Entity,0,False,Hallucinated
news-51262179,বাংলাদেশের টি টোয়েন্টি ক্রিকেটে মুস্তাফিজুর রহমানের ক্যারিয়ারের সবচেয়ে বড় ধাক্কা হয়েছিল ২০১৬ সালের ইনজুরি ও সার্জারি।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46941357,এ বছরের প্রথম পূর্ণিমা এবং চন্দ্রগ্রহণের পুরোটা দেখতে পাবেন বিজ্ঞানীরা।,,All claims are supported.,The claims about scientists observing the first full moon and seeing the entire duration of the lunar eclipse are not supported by the provided information.,None,None,Entity,None,2,True,Faithful
news-52402983,"করোনাভাইরাসের মহামারি প্রথম ছড়িয়েছে যে চীন থেকে, তাদের প্রতিবেশি ভিয়েতনাম কীভাবে নিজেকে সুরক্ষিত রাখলো?",,All claims are marked as 'Supported',Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-47415351,রোহিঙ্গা শরণার্থী ইস্যুতে মিয়ানমারের ভূমিকায় বাংলাদেশ ক্ষোভ প্রকাশ করেছে।,None,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-44276395,নবজাতক শিশুদের ন্যাপি পরিবর্তন করা বাবা-মা'য়েদের কাজ।,,The report states the text does not explicitly say diaper changing is the parents' responsibility.,All claims in the report are supported by the provided reason.,None,Missing Info,None,None,2,True,Faithful
news-50204325,২০১৬ সালে ঢাকায় হোলি আর্টিজান রেস্তোঁরায় হামলার ঘটনার পর থেকে আইনশৃঙ্খলা রক্ষাকারী বাহিনী ধারাবাহিক অভিযান চালিয়ে যাচ্ছে জঙ্গি তৎপরতার বিরুদ্ধে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-44403726,"ফেসবুক, গুগল, ইউটিউব ইত্যাদির বাংলাদেশে অর্জিত আয়কে করের আওতায় আনতে হবে।",,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-43864215,নিখোঁজ হয়ে যাওয়া অস্ট্রেলিয়ার এক শিশুকে কুকুর খুঁজতে বের করেছে পুলিশ।,,"The report states the child was found by a rescuer, not the police as claimed.",Both claims are supported by the provided reasons.,None,Entity,None,None,2,True,Faithful
news-57203955,বাংলাদেশের পররাষ্ট্র মন্ত্রী এ কে আবদুল মোমেন বলেছেন আমেরিকা বাংলাদেশকে প্রায় ১ কোটি ৬০ লাখ ডোজ অ্যাস্ট্রাজেনেকা ভ্যাকসিন দিতে রাজি হয়েছে।,The report is missing information,All claims are supported.,All claims are supported.,Missing Info,None,None,None,2,True,Faithful
news-47637011,"বাংলাদেশের রাজধানী ঢাকায় বাসের চাপায় নিহত শিক্ষার্থী আবরার আহম্মেদ চৌধুরীর সহপাঠীরা বলছেন, ""প্রশাসন কিছুই করছে না। এখনও প্রতিশ্রুতি সব প্রশাসনে জমে আছে।""","The report contains a contradictory claim: 'The administration is doing nothing' is marked as 'Not Supported', while 'All promises are still pending in the administration' is marked as 'Supported', indicating that the administration's actions are both supported and unsupported.",All claims have a status of 'Supported',Both claims are supported by the provided reasons.,Contradiction,None,None,None,2,True,Faithful
news-50127963,বাংলাদেশে ফেসবুক অ্যাকাউন্ট হ্যাক করে নবী মোহাম্মদকে নিয়ে মেসেঞ্জারে পোস্ট দেয় হ্যাকাররা।,,All claims have a status of 'Supported',All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-43699928,বাংলাদেশে ঢাকা বিশ্ববিদ্যালয়ে কোটা সংস্কারের দাবিতে আন্দোলনরত ছাত্রছাত্রীদের মধ্যে সোমবার রাতভর সংঘর্ষ হয়েছে।,,"The report states a clash on Sunday night, while the claim says it was on Monday night.","The second claim specifies that the protest lasted through the night on Sunday, while the first claim does not mention the duration of the protest. There is no direct contradiction, but the information provided in the second claim cannot be fully verified based on the information given in the first claim.",None,Date/Time,Date/Time,Date/Time,1,False,Hallucinated
news-50503931,যুক্তরাষ্ট্রে মৃত্যুদণ্ড কার্যকর করার প্রক্রিয়া পুনরায় শুরু করেছে কেন্দ্রীয় সরকার।,,All claims are supported.,The report does not specify that the central government restarted the process to make the death penalty effective.,None,None,Entity,None,2,True,Faithful
news-41070666,মিয়ানমারের রাখাইন প্রদেশে হামলার ঘটনায় মংদু থেকে পালিয়ে যাওয়া রোহিঙ্গাদের একাংশ 'বাঙালি সন্ত্রাসী'দের ব্যাপারে সরকারের জনগণ এবং বিদেশী নাগরিকদের সাবধান থাকতে,,"The report states the government is labeling the Rohingya as 'Bangladeshi terrorists', while the claim says the Rohingya are labeling the government as such.",The term 'Bengali terrorists' is vague and not supported by specific entities or groups. It lacks clarity and factual basis.,None,Contradiction,Entity,Contradiction,1,False,Hallucinated
news-46418362,দুর্নীতির মামলায় সাজাপ্রাপ্ত বিএনপি চেয়ারপার্সন খালেদা জিয়া নির্বাচনে অংশ নিতে পারবেন না।,,All claims are supported by the provided evidence.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-41064935,যুক্তরাষ্ট্রের টেক্সাস রাজ্যের দুইটি শহরের ওপর দিয়ে বয়ে গেছে হারিকেন 'হার্ভে'। এরইমধ্যে ছিন্নভিন্ন সেখানকার বাসিন্দাদের ঘর উপকূলে আঘাত হানার পর এই,,All claims have a status of 'Supported',The second claim is not supported as the report does not provide information about different parts of the cities being affected by the hurricane’s coastal impacts.,None,None,Other,None,2,True,Faithful
news-51494022,চীনের উহান শহরে করোনাভাইরাসের প্রাদুর্ভাব শুরু হওয়ার পর থেকে সেখানকার সড়ক পরিবহনের ব্যবস্থা বন্ধ হয়ে গেছে।,,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-46358471,"বাংলাদেশে বিরোধী দল বিএনপির ভারপ্রাপ্ত চেয়ারম্যান তারেক রহমান বলেছেন, ""আপনারা গণতন্ত্রের বিপক্ষে দাঁড়াবেন না।""",,All claims are supported.,The report does not clearly identify the entity making the statement as the chairman of the BNP opposition party in Bangladesh.,None,None,Entity,None,2,True,Faithful
news-50804643,ব্রিটেনের নির্বাচনের ফলাফল বিশ্লেষণ করেছেন রিটা চক্রবর্তী। প্রযুক্তির সাহায্যে বিবিসি টেলিভিশনে প্রকাশিত প্রতিবেদনগুলো ইংরেজিতে।,"The report does not support the claim that Rita Chakraborty analyzed the results of the British election, but it does support the claim that the report was published on BBC Television with the help of technology.",The report does not specify the language of the reports.,Both claims are not supported by the provided information.,Contradiction,Missing Info,Other,Missing Info,0,False,Hallucinated
news-47116189,নিউজিল্যান্ডের বিপক্ষে তিন ম্যাচের টেস্ট সিরিজ খেলার সুবিধার কথা জানিয়েছেন বাংলাদেশ জাতীয় ক্রিকেট দলের সভাপতি নাজমুল আবেদীন ফাহিম।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-48989199,কুমিল্লায় এক ব্যক্তিকে ছুরিকাঘাত করে হত্যা করেছে আদালত।,,The text mentions a stabbing but does not confirm a murder.,The report mentions an assault in the court room rather than a murder with a machete in Kuttikkanam.,None,Other,Entity,Entity,1,False,Hallucinated
